         Vardas             Pavarde     Galutinis(Vid.) / Galutinis(Med)
     Vardas5761         Pavarde5761             6.81333            6.6
     Vardas5762         Pavarde5762             5.73333            5.6
     Vardas5763         Pavarde5763             6.14667            5.4
     Vardas5764         Pavarde5764             7.81333            7.6
     Vardas5765         Pavarde5765                   8            7.6
     Vardas5766         Pavarde5766             4.22667            4.2
     Vardas5767         Pavarde5767             5.78667              6
     Vardas5768         Pavarde5768             2.89333              3
     Vardas5769         Pavarde5769             5.57333            5.6
      Vardas577          Pavarde577                4.48            4.4
     Vardas5770         Pavarde5770                6.12            6.2
     Vardas5771         Pavarde5771                7.56            7.8
     Vardas5772         Pavarde5772                 6.6            6.6
     Vardas5773         Pavarde5773             7.18667            7.4
     Vardas5774         Pavarde5774                6.96            6.8
     Vardas5775         Pavarde5775             3.21333            3.4
     Vardas5776         Pavarde5776             4.17333            3.8
     Vardas5777         Pavarde5777             5.26667              5
     Vardas5778         Pavarde5778             4.69333            5.2
     Vardas5779         Pavarde5779             5.02667              5
      Vardas578          Pavarde578             5.66667            5.8
     Vardas5780         Pavarde5780                 5.4            5.4
     Vardas5781         Pavarde5781                3.44            3.6
     Vardas5782         Pavarde5782                7.48            7.4
     Vardas5783         Pavarde5783             6.33333            6.6
     Vardas5784         Pavarde5784             8.50667            8.8
     Vardas5785         Pavarde5785             6.38667            6.6
     Vardas5786         Pavarde5786             3.41333            3.6
     Vardas5787         Pavarde5787             7.77333            7.8
     Vardas5788         Pavarde5788                6.72            6.8
     Vardas5789         Pavarde5789             6.57333            6.2
      Vardas579          Pavarde579             7.14667            7.2
     Vardas5790         Pavarde5790             2.73333            2.6
     Vardas5791         Pavarde5791             6.93333            6.4
     Vardas5792         Pavarde5792             4.61333            4.8
     Vardas5793         Pavarde5793             2.49333            2.2
     Vardas5794         Pavarde5794             4.58667            4.8
     Vardas5795         Pavarde5795             6.85333            6.4
     Vardas5796         Pavarde5796             6.14667            5.8
     Vardas5797         Pavarde5797                7.64            8.2
     Vardas5798         Pavarde5798             5.02667              5
     Vardas5799         Pavarde5799             7.74667            7.8
       Vardas58           Pavarde58             5.17333            5.2
      Vardas580          Pavarde580                3.56              3
     Vardas5800         Pavarde5800             4.74667            4.8
     Vardas5801         Pavarde5801             3.38667            3.2
     Vardas5802         Pavarde5802                7.36              8
     Vardas5803         Pavarde5803                8.16            8.4
     Vardas5804         Pavarde5804             4.53333            4.4
     Vardas5805         Pavarde5805                7.12            7.2
     Vardas5806         Pavarde5806             5.34667            5.8
     Vardas5807         Pavarde5807             6.65333            6.6
     Vardas5808         Pavarde5808             3.54667            3.6
     Vardas5809         Pavarde5809                 6.6              7
      Vardas581          Pavarde581             5.05333            4.6
     Vardas5810         Pavarde5810             7.62667            7.2
